BOOST	1	0.80416524100641	1214.0027237546071
SEM	1	26.0568205654468	160.43486751407085
POLL	1	0.7986928454516224	1173.9724685751355
TCP	1	26.294536038612442	158.30014405344707
POLL	2	0.7774105817375327	2129.1720411475103
TCP	2	24.28426774381484	336.44859909998013
SEM	2	29.69075987829545	283.97036013017606
BOOST	2	0.7926876728124259	2165.37196357169
SEM	3	33.62437783520708	379.263863211436
POLL	3	0.7758645184459502	3238.368535894528
BOOST	3	0.8093545910162743	3223.1654095901654
TCP	3	27.70987502118721	444.9348896108964
SEM	4	32.80046229090182	511.84950988415926
BOOST	4	0.782723792009484	4048.532772248386
POLL	4	0.848684145094459	3892.596934133572
TCP	4	32.55250455367671	512.6371259174795
SEM	5	35.816754712488034	587.9078151451617
TCP	5	34.74443295195989	600.6666330122248
BOOST	5	1.0208595177183186	4058.7916252359873
POLL	5	0.9084367244949217	4375.112366056405
SEM	6	38.39030066823698	658.3743272107462
BOOST	6	1.079650130944384	4450.327405297036
TCP	6	37.892961552032226	663.051349778607
POLL	6	0.9843591556696651	4817.843073762409
SEM	7	40.86824326889488	714.5051835316664
TCP	7	40.988410715048616	717.9805852859233
POLL	7	1.0874654595701498	4813.9589271874065
BOOST	7	1.1228450040425824	4793.698769877709
BOOST	8	2.207625420617935	4317.24636690324
SEM	8	43.922390097050254	760.5732234010784
TCP	8	41.582914667344	807.4468546412305
POLL	8	2.2237782621200797	4260.459986306965
BOOST	9	3.8386961386946274	3872.833513678357
POLL	9	4.554394977866439	3423.091044348652
SEM	9	46.24529173673672	815.9583311812785
TCP	9	44.55248515958627	849.1207170915355
TCP	10	46.964856759975056	881.8909267759819
SEM	10	47.876783502831266	875.0317896395154
BOOST	10	5.268687932269943	3560.09743045275
POLL	10	5.677021086068598	3489.4444039028776
TCP	11	41.7941774378253	1087.5541922969019
BOOST	11	7.816134437055307	3304.698438038176
SEM	11	48.10986590419942	941.5089424197982
POLL	11	7.398731723922772	3352.7915069924516
TCP	12	29.666705642113094	1597.7034817574975
SEM	12	25.47487586612594	1793.482131995175
POLL	12	9.50343015063351	3147.587293189883
BOOST	12	11.387644255959147	3113.8180690353756
TCP	13	25.706642344407214	1973.651712695859
POLL	13	12.430810425664319	2878.5854614810514
SEM	13	26.958391205881966	1854.1939779771503
BOOST	13	12.093809240915816	2884.4413701323565
POLL	14	16.26078293356066	2758.5087173467296
BOOST	14	21.889734051760314	2460.6217421950673
TCP	14	31.481041741751856	1782.9006309391582
SEM	14	28.238728091737038	1899.739756346414
BOOST	15	17.538345419726486	2564.707991618825
POLL	15	17.157351171051673	2596.379652810484
SEM	15	29.3200971344372	1986.2749524053313
TCP	15	28.45659325735131	2066.4287889731254
TCP	16	30.45614952537313	2079.052669399911
SEM	16	31.281264960983176	800.3099698915838
BOOST	16	28.466389683925943	1206.3891318317176
POLL	16	20.373021265747123	1454.251611220682
TCP	17	33.67798924323719	2048.0102729556306
TCP	18	38.67786929804582	1961.196935063283
TCP	19	38.496962885763445	2069.5844048398153
TCP	20	41.14673606562721	2056.129778942522
TCP	21	43.367824346912485	2078.592051250872
TCP	22	56.35154028942151	1838.446008562425
TCP	23	49.22503078634224	2052.037801961891
TCP	24	53.15831144348697	2017.1622786634093
TCP	25	55.34572717779234	2007.00670346305
TCP	26	56.08386222367816	2086.713320007389
